City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Puerto Ayora,EC,2022-06-29 11:52:41,-0.7393,-90.3518,69.55,92,98,10.0
68,Saint-Philippe,RE,2022-06-29 11:52:41,-21.3585,55.7679,71.19,74,86,14.52
69,Chuy,UY,2022-06-29 11:52:42,-33.6971,-53.4616,45.16,80,11,5.64
70,Severo-Kurilsk,RU,2022-06-29 11:52:42,50.6789,156.125,45.99,94,100,10.36
71,Leo,BF,2022-06-29 11:52:43,11.1,-2.1,92.21,44,39,7.96
72,Butaritari,KI,2022-06-29 11:52:44,3.0707,172.7902,81.88,78,100,17.87
73,Jamestown,US,2022-06-29 11:52:44,42.097,-79.2353,62.19,87,0,6.91
74,Ponta Do Sol,PT,2022-06-29 11:52:45,32.6667,-17.1,75.7,62,7,3.31
75,Chokurdakh,RU,2022-06-29 11:52:45,70.6333,147.9167,48.7,48,95,8.19
76,Qitaihe,CN,2022-06-29 11:52:45,45.8,130.85,65.44,91,100,3.27
77,Nikolskoye,RU,2022-06-29 11:52:46,59.7035,30.7861,78.87,26,0,5.91
78,Asyut,EG,2022-06-29 11:52:47,27.181,31.1837,95.18,16,0,12.64
79,Cherskiy,RU,2022-06-29 11:52:47,68.75,161.3,38.57,92,100,16.28
80,Clyde River,CA,2022-06-29 11:52:48,70.4692,-68.5914,37.63,87,100,5.75
81,Pevek,RU,2022-06-29 11:52:48,69.7008,170.3133,33.17,95,98,10.67
82,Hermanus,ZA,2022-06-29 11:52:49,-34.4187,19.2345,79.81,48,3,3.56
83,Kismayo,SO,2022-06-29 11:52:49,-0.3582,42.5454,80.51,63,40,17.27
84,Port Alfred,ZA,2022-06-29 11:52:49,-33.5906,26.891,78.19,32,48,5.01
85,Provideniya,RU,2022-06-29 11:52:50,64.3833,-173.3,44.71,97,99,5.21
86,Hasaki,JP,2022-06-29 11:49:47,35.7333,140.8333,81.0,84,97,14.25
87,Ola,RU,2022-06-29 11:52:51,59.5833,151.2833,57.15,97,45,8.12
88,Kaitangata,NZ,2022-06-29 11:52:52,-46.2817,169.8464,40.87,92,33,5.88
89,Alice Springs,AU,2022-06-29 11:52:53,-23.7,133.8833,53.15,40,52,6.91
90,Talnakh,RU,2022-06-29 11:49:34,69.4865,88.3972,65.21,45,100,4.81
91,Constitucion,CL,2022-06-29 11:52:54,-35.3333,-72.4167,53.29,86,100,9.48
92,Bambous Virieux,MU,2022-06-29 11:52:54,-20.3428,57.7575,73.65,49,75,12.66
93,Raudeberg,NO,2022-06-29 11:52:55,61.9875,5.1352,63.27,89,2,6.46
94,Constantine,DZ,2022-06-29 11:52:56,36.365,6.6147,90.81,40,0,10.36
95,New Norfolk,AU,2022-06-29 11:52:57,-42.7826,147.0587,54.72,81,100,3.0
96,Fairbanks,US,2022-06-29 11:52:57,64.8378,-147.7164,60.8,72,75,4.61
97,San Quintin,MX,2022-06-29 11:52:58,30.4833,-115.95,67.69,86,3,5.3
98,Khatanga,RU,2022-06-29 11:53:00,71.9667,102.5,60.08,31,7,13.73
99,Coari,BR,2022-06-29 11:53:00,-4.085,-63.1414,77.74,79,41,2.08
100,Rawson,AR,2022-06-29 11:53:01,-43.3002,-65.1023,46.98,73,86,10.18
101,Saskylakh,RU,2022-06-29 11:53:01,71.9167,114.0833,61.39,34,23,11.59
102,Barinas,VE,2022-06-29 11:53:02,8.6226,-70.2075,74.35,84,65,1.25
103,Novobirilyussy,RU,2022-06-29 11:53:03,56.9514,90.6661,71.08,60,47,4.12
104,Dingle,PH,2022-06-29 11:53:03,10.9995,122.6711,76.51,88,100,5.23
105,Najran,SA,2022-06-29 11:53:05,17.4924,44.1277,101.05,12,97,14.41
106,Wajima,JP,2022-06-29 11:51:39,37.4,136.9,75.49,76,91,11.25
107,Luderitz,NA,2022-06-29 11:53:06,-26.6481,15.1594,77.38,28,0,18.37
108,Sitka,US,2022-06-29 11:53:06,57.0531,-135.33,55.53,95,100,3.56
109,Barrow,US,2022-06-29 11:53:07,71.2906,-156.7887,46.83,81,100,17.22
110,Skovorodino,RU,2022-06-29 11:53:07,53.9833,123.9167,74.5,56,55,5.57
111,Vaini,TO,2022-06-29 11:53:08,-21.2,-175.2,73.56,100,40,3.44
112,Filadelfia,US,2022-06-29 11:52:16,39.9523,-75.1638,71.2,79,20,3.44
113,Quatre Cocos,MU,2022-06-29 11:53:08,-20.2078,57.7625,73.51,64,91,18.16
114,Evanston,US,2022-06-29 11:53:09,42.0411,-87.6901,69.48,83,61,1.01
115,Qianan,CN,2022-06-29 11:53:09,44.9932,124.0581,76.71,58,100,5.28
116,Mandalgovi,MN,2022-06-29 11:53:10,45.7625,106.2708,80.78,24,5,7.65
117,Xuddur,SO,2022-06-29 11:53:10,4.1213,43.8894,84.42,42,87,25.5
118,Tuatapere,NZ,2022-06-29 11:53:11,-46.1333,167.6833,41.34,92,14,5.23
119,Tigre,AR,2022-06-29 11:53:11,-34.426,-58.5796,49.26,90,0,4.61
120,Buarcos,PT,2022-06-29 11:53:12,40.166,-8.8768,78.24,64,65,18.7
121,Westport,US,2022-06-29 11:53:13,41.1415,-73.3579,70.45,81,100,1.01
122,Ashcroft,CA,2022-06-29 11:53:13,50.7165,-121.2859,57.47,93,98,2.98
123,Bengkulu,ID,2022-06-29 11:50:12,-3.8004,102.2655,75.38,93,99,6.85
124,Madison,US,2022-06-29 11:53:14,34.7334,-86.5667,73.38,92,0,4.0
125,Gunjur,GM,2022-06-29 11:53:14,13.2019,-16.7339,86.07,70,40,6.91
126,Zhigansk,RU,2022-06-29 11:53:15,66.7697,123.3711,54.05,50,99,2.13
127,Torbay,CA,2022-06-29 11:53:15,47.6666,-52.7314,67.28,92,100,11.5
128,Port Hedland,AU,2022-06-29 11:53:16,-20.3167,118.5667,66.25,34,0,8.05
129,Saldanha,ZA,2022-06-29 11:53:16,-33.0117,17.9442,77.05,45,0,12.19
130,Bageshwar,IN,2022-06-29 11:53:17,29.85,79.7667,81.05,74,83,1.81
131,Grindavik,IS,2022-06-29 11:53:17,63.8424,-22.4338,57.15,71,0,16.11
132,Huarmey,PE,2022-06-29 11:53:18,-10.0681,-78.1522,60.76,83,28,4.59
133,Oum Hadjer,TD,2022-06-29 11:53:18,13.2954,19.6966,95.7,30,88,0.78
134,Qaqortoq,GL,2022-06-29 11:53:19,60.7167,-46.0333,40.08,97,100,4.34
135,Vao,NC,2022-06-29 11:53:19,-22.6667,167.4833,70.97,60,8,14.88
136,Zell Am See,AT,2022-06-29 11:53:21,47.3256,12.7944,66.99,58,100,1.39
137,Coquimbo,CL,2022-06-29 11:53:21,-29.9533,-71.3436,46.13,53,0,2.3
138,Alyangula,AU,2022-06-29 11:53:22,-13.8483,136.4192,74.21,79,100,14.45
139,Rabo De Peixe,PT,2022-06-29 11:53:22,37.8,-25.5833,73.27,78,75,9.22
140,Cairns,AU,2022-06-29 11:50:14,-16.9167,145.7667,73.06,89,100,10.36
141,Victoria,HK,2022-06-29 11:51:01,22.2855,114.1577,88.18,79,100,11.01
142,Georgetown,MY,2022-06-29 11:53:25,5.4112,100.3354,86.9,78,20,8.05
143,Yar-Sale,RU,2022-06-29 11:53:26,66.8333,70.8333,54.43,43,81,19.69
144,Avera,US,2022-06-29 11:53:26,33.194,-82.5271,72.91,91,94,5.97
145,Suoyarvi,RU,2022-06-29 11:53:26,62.0833,32.35,75.22,28,3,2.95
146,Barcelos,PT,2022-06-29 11:53:27,41.5388,-8.6151,72.84,50,74,12.86
147,Pangnirtung,CA,2022-06-29 11:53:27,66.1451,-65.7125,42.8,81,75,0.0
148,Kandrian,PG,2022-06-29 11:53:28,-6.2167,149.55,78.42,86,73,6.73
149,Ulladulla,AU,2022-06-29 11:48:37,-35.35,150.4667,54.32,64,92,7.99
150,Voh,NC,2022-06-29 11:53:28,-20.9667,164.7,66.25,81,4,6.29
151,Bayir,TR,2022-06-29 11:53:29,37.2687,28.2167,88.32,29,18,8.77
152,Kahului,US,2022-06-29 11:53:29,20.8947,-156.47,75.85,76,40,13.8
153,Lampang,TH,2022-06-29 11:53:31,18.3333,99.5,91.31,52,75,9.22
154,Tura,IN,2022-06-29 11:53:32,25.5198,90.2201,75.81,96,100,1.57
155,Biak,ID,2022-06-29 11:53:32,-0.9131,122.8766,77.4,87,91,4.23
156,Inverness,GB,2022-06-29 11:53:33,57.4791,-4.224,66.11,59,20,5.75
157,Paita,PE,2022-06-29 11:53:34,-5.0892,-81.1144,61.2,83,16,9.8
158,Port-Cartier,CA,2022-06-29 11:53:34,50.0334,-66.8654,60.75,67,0,4.65
159,Qaanaaq,GL,2022-06-29 11:53:34,77.484,-69.3632,44.28,52,48,6.87
160,Sola,VU,2022-06-29 11:53:35,-13.8833,167.55,80.96,80,42,19.86
161,Port Elizabeth,ZA,2022-06-29 11:53:35,-33.918,25.5701,79.11,35,0,4.61
162,Naze,JP,2022-06-29 11:49:25,28.3667,129.4833,79.72,87,8,9.26
163,Mpika,ZM,2022-06-29 11:53:37,-11.8343,31.4529,62.82,63,100,7.65
164,Bilibino,RU,2022-06-29 11:53:37,68.0546,166.4372,58.8,90,99,3.53
165,Vila Franca Do Campo,PT,2022-06-29 11:53:38,37.7167,-25.4333,74.19,62,13,3.78
166,Port Lincoln,AU,2022-06-29 11:53:39,-34.7333,135.8667,54.46,72,22,13.62
167,Nenjiang,CN,2022-06-29 11:53:39,49.1833,125.2167,70.2,79,0,6.11
168,Upernavik,GL,2022-06-29 11:53:40,72.7868,-56.1549,33.94,95,77,13.22
169,Kaduqli,SD,2022-06-29 11:53:40,11.0167,29.7167,75.13,72,100,2.33
170,Klaksvik,FO,2022-06-29 11:53:42,62.2266,-6.589,56.32,98,99,14.81
171,Muisne,EC,2022-06-29 11:53:43,0.6,-80.0333,74.28,89,98,8.14
172,Grand Gaube,MU,2022-06-29 11:53:43,-20.0064,57.6608,73.8,58,64,10.0
173,Mayo,US,2022-06-29 11:53:44,38.8876,-76.5119,73.51,81,0,1.01
174,Bima,ID,2022-06-29 11:53:44,-8.4667,118.7167,75.65,90,25,5.21
175,Vallenar,CL,2022-06-29 11:53:45,-28.5708,-70.7581,60.13,12,0,3.83
176,Porto Novo,BJ,2022-06-29 11:53:45,6.4965,2.6036,82.22,76,96,9.66
177,Baculin,PH,2022-06-29 11:53:46,7.4525,126.5842,80.01,87,95,8.97
