,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barkhan,PK,29.8977,69.5256,90.59,44,27,8.23,scattered clouds
80,Pokaran,IN,26.9167,71.9167,83.77,74,99,12.35,overcast clouds
81,Port Lincoln,AU,-34.7333,135.8667,53.02,71,100,11.07,overcast clouds
82,Vaini,TO,-21.2,-175.2,71.76,88,20,8.05,few clouds
83,Iqaluit,CA,63.7506,-68.5145,38.7,86,100,4.0,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,53.1,71,75,13.8,light rain
85,Kamien Pomorski,PL,53.9685,14.7726,75.56,53,1,7.14,clear sky
86,Hilo,US,19.7297,-155.09,73.26,94,75,6.91,broken clouds
87,Kapaa,US,22.0752,-159.319,77.32,86,75,19.57,broken clouds
88,Saint George,US,37.1041,-113.5841,85.42,23,0,3.0,clear sky
89,Hobart,AU,-42.8794,147.3294,40.05,93,3,9.22,clear sky
90,Hamilton,US,39.1834,-84.5333,81.99,78,40,3.44,haze
91,Innisfail,AU,-17.5333,146.0333,68.77,92,100,6.29,overcast clouds
92,Savannakhet,LA,16.566,104.751,75.96,94,100,6.78,light rain
93,Bautzen,DE,51.1833,14.4333,80.65,39,0,4.0,clear sky
94,Inirida,CO,3.8653,-67.9239,81.91,71,81,3.71,broken clouds
95,Dongning,CN,44.0622,131.1207,69.8,92,100,3.65,overcast clouds
96,Pilar,BR,-9.5972,-35.9567,75.13,89,37,13.04,scattered clouds
97,Cayenne,GF,4.9333,-52.3333,87.84,15,75,11.5,broken clouds
98,Shahrud,IR,36.4182,54.9763,86.04,33,0,10.89,clear sky
99,Loukhi,RU,66.0764,33.0381,78.24,49,0,12.19,clear sky
100,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,61,0,17.27,clear sky
101,Sao Filipe,CV,14.8961,-24.4956,74.77,79,20,10.18,few clouds
102,Mahebourg,MU,-20.4081,57.7,68.25,69,100,22.06,light rain
103,Platteville,US,42.7342,-90.4785,77.32,44,0,4.61,clear sky
104,Goranboy,AZ,40.6103,46.7897,84.36,58,100,12.62,light rain
105,Skibbereen,IE,51.55,-9.2667,59.11,79,50,18.66,scattered clouds
106,Asau,RO,46.4333,26.4,87.28,72,91,6.26,overcast clouds
107,Lebu,CL,-37.6167,-73.65,49.86,82,100,23.11,moderate rain
108,Hasaki,JP,35.7333,140.8333,77.29,89,53,11.59,broken clouds
109,Kruisfontein,ZA,-34.0033,24.7314,65.16,59,9,10.58,clear sky
110,Micheweni,TZ,-4.9667,39.8333,74.46,79,63,12.06,light rain
111,Torbay,CA,47.6666,-52.7314,62.28,67,100,8.52,overcast clouds
112,Charters Towers,AU,-20.1,146.2667,60.4,93,100,11.18,overcast clouds
113,Provideniya,RU,64.3833,-173.3,46.62,95,100,2.91,overcast clouds
114,Voh,NC,-20.9667,164.7,71.6,88,100,3.87,overcast clouds
115,Paita,PE,-5.0892,-81.1144,66.47,74,14,8.55,few clouds
116,Luderitz,NA,-26.6481,15.1594,63.84,68,0,10.09,clear sky
117,Mlimba,TZ,-8.8,35.8167,77.56,42,1,3.71,clear sky
118,Belmonte,BR,-15.8631,-38.8828,77.45,71,78,10.94,broken clouds
119,Sorland,NO,67.667,12.6934,58.86,94,76,14.56,broken clouds
120,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,92,14.7,overcast clouds
121,Tete,MZ,-16.1564,33.5867,74.93,55,48,7.07,scattered clouds
122,Boma,GH,7.0805,-2.1697,77.13,92,96,2.82,moderate rain
123,Te Anau,NZ,-45.4167,167.7167,44.8,91,94,3.8,overcast clouds
124,Smithers,CA,54.7804,-127.1743,59.32,94,75,2.3,broken clouds
125,Broken Hill,AU,-31.95,141.4333,40.75,72,0,12.88,clear sky
126,Aksu,CN,41.1231,80.2644,89.73,15,73,10.76,broken clouds
127,Kodinsk,RU,58.6881,99.1844,59.09,79,100,7.2,overcast clouds
128,Leningradskiy,RU,69.3833,178.4167,37.18,91,100,3.15,overcast clouds
129,College,US,64.8569,-147.8028,64.8,81,75,4.61,smoke
130,Sooke,CA,48.3746,-123.7276,62.53,81,98,6.24,overcast clouds
131,Maldonado,UY,-34.6667,-54.9167,51.19,69,56,15.93,broken clouds
132,Vila Velha,BR,-20.3297,-40.2925,82.35,64,40,13.8,scattered clouds
133,Khatanga,RU,71.9667,102.5,55.09,57,93,17.11,overcast clouds
134,Coihaique,CL,-45.5752,-72.0662,31.95,93,75,5.75,broken clouds
135,Shingu,JP,33.7333,135.9833,76.1,90,100,4.09,light rain
136,Walvis Bay,NA,-22.9575,14.5053,68.92,53,0,11.32,clear sky
137,Jiaozuo,CN,35.2397,113.2331,80.98,72,100,11.86,overcast clouds
138,Saint-Francois,FR,46.4154,3.9054,80.67,39,0,5.75,clear sky
139,Remanso,BR,-9.6179,-42.0831,82.6,48,60,14.16,broken clouds
140,Sakaiminato,JP,35.55,133.2333,77.65,79,100,7.63,overcast clouds
141,Ostrovnoy,RU,68.0531,39.5131,60.69,67,14,11.21,few clouds
142,Atambua,ID,-9.1061,124.8925,73.54,89,100,6.24,overcast clouds
143,Severo-Kurilsk,RU,50.6789,156.125,48.51,95,97,11.48,overcast clouds
144,Gat,IL,31.61,34.7642,86.4,39,0,11.72,clear sky
145,Whitehorse,CA,60.7161,-135.0538,58.8,71,97,1.01,overcast clouds
146,Hambantota,LK,6.1241,81.1185,81.01,78,10,19.89,clear sky
147,Bintulu,MY,3.1667,113.0333,79.97,79,57,4.36,broken clouds
148,Naryan-Mar,RU,67.6713,53.087,53.58,64,10,15.9,clear sky
149,Yumen,CN,40.2833,97.2,77.59,34,91,8.95,overcast clouds
150,Touros,BR,-5.1989,-35.4608,83.95,67,78,15.03,broken clouds
151,Half Moon Bay,US,37.4636,-122.4286,60.58,89,100,11.5,mist
152,Bagdarin,RU,54.4333,113.6,65.82,67,34,1.7,scattered clouds
153,Masuda,JP,34.6667,131.85,77.54,78,100,4.21,overcast clouds
154,Biskupiec,PL,53.8647,20.9569,64.22,92,100,9.73,overcast clouds
155,Chuy,UY,-33.6971,-53.4616,57.83,76,80,8.77,broken clouds
156,Okitipupa,NG,6.5047,4.7839,80.28,82,83,6.51,moderate rain
157,Manado,ID,1.487,124.8455,77.77,94,40,3.44,scattered clouds
158,Griffith,US,41.5284,-87.4237,80.06,53,0,6.91,clear sky
159,Haines Junction,CA,60.7522,-137.5108,62.31,51,100,1.16,overcast clouds
160,Kargasok,RU,59.0556,80.8572,55.69,92,98,8.57,light rain
161,Cooma,AU,-36.2333,149.1333,38.97,100,100,10.36,overcast clouds
162,Saint-Joseph,RE,-21.3667,55.6167,70.18,75,71,15.37,broken clouds
163,Deder,ET,9.3167,41.45,70.92,42,88,2.62,overcast clouds
164,Mugur-Aksy,RU,50.35,90.5,47.5,76,45,3.69,light rain
165,Kawalu,ID,-7.3817,108.2082,73.06,97,99,0.96,overcast clouds
166,Zhigansk,RU,66.7697,123.3711,61.65,54,100,10.76,overcast clouds
167,Westport,US,41.1415,-73.3579,86.18,77,0,6.91,clear sky
168,Krasnoye,UA,49.9145,24.6134,70.39,88,98,12.77,overcast clouds
169,Butterworth,MY,5.3991,100.3638,87.01,71,20,4.61,few clouds
170,Ixtapa,MX,20.7,-105.2,85.23,78,100,3.44,overcast clouds
171,Atuona,PF,-9.8,-139.0333,77.34,76,11,14.07,few clouds
172,San Jose,US,37.3394,-121.895,60.53,74,75,3.44,broken clouds
173,Bengkulu,ID,-3.8004,102.2655,75.61,85,77,3.53,broken clouds
174,Saskylakh,RU,71.9167,114.0833,60.82,55,99,7.16,overcast clouds
175,Hami,CN,42.8,93.45,87.24,16,52,8.57,broken clouds
176,Cochrane,CA,51.1834,-114.4687,55.9,80,100,4.61,overcast clouds
177,Kasongo-Lunda,CD,-6.4667,16.8167,94.05,16,5,4.59,clear sky
178,Muros,ES,42.7762,-9.0603,77.09,68,100,15.9,overcast clouds
179,Port Hardy,CA,50.6996,-127.4199,55.45,91,100,3.94,overcast clouds
