,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Casa Branca,BR,-21.7739,-47.0864,80.53,31,0,12.5,clear sky
348,Newport,GB,51.5877,-2.9984,65.12,70,42,16.78,scattered clouds
349,Cardston,CA,49.2,-113.3019,54.01,91,85,6.64,overcast clouds
350,Puerto Madero,MX,14.7208,-92.4215,86.2,84,40,4.61,scattered clouds
351,Mahanoro,MG,-19.9,48.8,68.58,75,100,8.43,light rain
352,Honningsvag,NO,70.9821,25.9704,65.95,68,0,3.44,clear sky
353,Namibe,AO,-15.1961,12.1522,76.66,48,3,11.74,clear sky
354,Rebra,RO,47.3167,24.5,83.48,51,84,7.29,broken clouds
355,Sarana,RU,56.4773,57.7259,65.7,70,67,3.33,broken clouds
356,Portland,US,45.5234,-122.6762,60.08,85,100,6.91,overcast clouds
357,Banjar,ID,-8.19,114.9675,78.44,90,55,1.59,broken clouds
358,Kaduy,RU,59.2,37.15,81.46,48,56,5.41,broken clouds
359,Labuhan,ID,-6.8844,112.2051,79.11,86,42,7.0,scattered clouds
360,Pangnirtung,CA,66.1451,-65.7125,42.8,87,40,17.27,scattered clouds
361,Mount Isa,AU,-20.7333,139.5,53.37,62,1,11.5,clear sky
362,Chimore,BO,-16.9833,-65.1333,81.39,50,100,3.71,overcast clouds
363,Puerto Quijarro,BO,-17.7833,-57.7667,91.72,30,32,9.28,scattered clouds
364,Mana,GF,5.6592,-53.7767,83.3,71,19,10.47,few clouds
365,Lavrentiya,RU,65.5833,-171.0,44.2,99,100,4.47,overcast clouds
366,Killybegs,IE,54.6333,-8.45,58.71,77,43,12.5,scattered clouds
367,Chaiya,TH,9.3862,99.1986,80.67,81,100,6.46,overcast clouds
368,Peachtree City,US,33.3968,-84.5958,84.18,81,40,3.44,scattered clouds
369,Capreol,CA,46.706,-80.9225,67.55,32,0,13.98,clear sky
370,Karimganj,IN,24.8667,92.35,78.98,92,7,2.84,clear sky
371,Santa Maria,BR,-29.6842,-53.8069,67.71,75,63,5.14,broken clouds
372,Camacari,BR,-12.6975,-38.3242,82.17,68,64,12.19,broken clouds
373,Havoysund,NO,70.9963,24.6622,66.43,46,0,11.74,clear sky
374,Oktyabrskiy,RU,54.4815,53.471,64.08,83,12,6.71,light rain
375,Adrar,MR,20.5022,-10.0711,104.4,12,13,3.91,few clouds
376,Bonavista,CA,48.6499,-53.1147,61.52,77,33,9.19,scattered clouds
377,Matara,LK,5.9485,80.5353,80.64,80,17,17.2,few clouds
378,Fortuna,US,40.5982,-124.1573,56.35,92,100,2.55,overcast clouds
379,Alfred,US,42.2542,-77.7906,74.39,87,80,1.99,broken clouds
380,Ostroh,UA,50.3294,26.5143,82.6,53,37,10.22,scattered clouds
381,Ballina,AU,-28.8667,153.5667,57.02,99,80,7.43,broken clouds
382,Denpasar,ID,-8.65,115.2167,80.26,94,40,12.66,scattered clouds
383,Paramonga,PE,-10.6667,-77.8333,65.25,74,45,7.94,scattered clouds
384,Thinadhoo,MV,0.5333,72.9333,83.53,65,100,7.2,overcast clouds
385,Alekseyevka,RU,50.6309,38.6903,66.87,65,63,11.86,broken clouds
386,Lubumbashi,CD,-11.6609,27.4794,73.69,36,69,4.36,broken clouds
387,Camacupa,AO,-12.0167,17.4833,77.0,21,6,2.39,clear sky
388,Kidal,ML,18.4411,1.4078,102.63,17,94,6.87,overcast clouds
389,Dingle,PH,10.9995,122.6711,79.25,83,100,4.03,overcast clouds
390,Grand Gaube,MU,-20.0064,57.6608,68.38,76,94,5.01,light rain
391,Margate,GB,51.3813,1.3862,72.7,46,100,7.0,overcast clouds
392,Virginia Beach,US,36.8529,-75.978,87.03,66,40,14.97,scattered clouds
393,Plettenberg Bay,ZA,-34.0527,23.3716,66.29,61,7,3.76,clear sky
394,Sechura,PE,-5.5569,-80.8222,67.64,69,12,7.18,few clouds
395,Mama,RU,58.3106,112.8986,71.69,65,57,3.56,broken clouds
396,Miles City,US,46.4083,-105.8406,75.7,49,54,7.4,broken clouds
397,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.37,83,20,17.9,few clouds
398,Gornopravdinsk,RU,60.05,69.9,61.27,64,98,1.72,overcast clouds
399,Novopokrovka,UA,49.8425,36.5477,72.64,47,3,11.92,clear sky
400,Staraya Russa,RU,57.9944,31.3608,82.71,36,99,1.43,overcast clouds
401,Aden,YE,12.7794,45.0367,88.52,68,64,15.01,broken clouds
402,Tasiilaq,GL,65.6145,-37.6368,42.96,84,96,1.95,overcast clouds
403,Nhulunbuy,AU,-12.2333,136.7667,74.01,88,100,14.97,overcast clouds
404,Teluknaga,ID,-6.0989,106.6381,84.18,88,75,4.61,broken clouds
405,Yakima,US,46.4665,-120.6678,69.19,57,0,8.05,clear sky
406,Gamba,GA,-2.65,10.0,76.57,74,88,7.4,overcast clouds
407,Talcahuano,CL,-36.7167,-73.1167,51.48,82,75,16.11,light rain
408,Yenagoa,NG,4.9247,6.2642,80.69,80,95,6.38,moderate rain
409,Ancud,CL,-41.8697,-73.8203,45.23,89,100,22.06,light rain
410,Krasnoselkup,RU,65.7,82.4667,59.47,51,100,11.95,overcast clouds
411,Liwale,TZ,-9.7667,37.9333,72.97,52,47,7.2,scattered clouds
412,Darnah,LY,32.767,22.6367,82.96,64,0,21.83,clear sky
413,Farafangana,MG,-22.8167,47.8333,69.06,68,94,8.9,overcast clouds
414,Mount Gambier,AU,-37.8333,140.7667,42.71,100,100,4.61,overcast clouds
415,Lillooet,CA,50.6856,-121.942,72.23,62,53,1.59,broken clouds
416,Hualmay,PE,-11.0964,-77.6139,64.89,73,40,8.01,scattered clouds
417,Barranquilla,CO,10.9639,-74.7964,85.78,79,40,4.61,scattered clouds
418,Tambacounda,SN,13.7539,-13.7586,89.64,43,57,9.04,broken clouds
419,San Lawrenz,MT,36.0553,14.204,92.61,87,1,15.03,clear sky
420,Butembo,CD,0.15,29.2833,66.09,72,94,1.68,overcast clouds
421,Terney,RU,45.0503,136.6092,68.59,93,72,5.39,broken clouds
422,Filadelfia,US,39.9523,-75.1638,87.87,73,75,11.5,broken clouds
423,Bitung,ID,1.4451,125.1824,77.85,81,82,4.25,broken clouds
424,Sancti Spiritus,CU,21.9297,-79.4425,83.97,70,36,10.36,scattered clouds
425,Santiago,CL,-33.4569,-70.6483,54.28,70,0,2.3,mist
426,Arman,RU,59.7,150.1667,61.02,56,24,6.62,few clouds
427,Makakilo City,US,21.3469,-158.0858,75.56,66,0,16.11,clear sky
428,Qandala,SO,11.472,49.8728,94.87,42,17,6.06,few clouds
429,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,51.78,87,1,10.98,clear sky
430,Pangai,TO,-19.8,-174.35,77.07,77,67,18.7,broken clouds
431,Saldanha,ZA,-33.0117,17.9442,59.9,73,86,15.84,overcast clouds
432,Fare,PF,-16.7,-151.0167,78.48,66,15,20.24,few clouds
433,Aberdeen,GB,57.1437,-2.0981,57.76,92,40,5.75,shower rain
434,Aguimes,ES,27.9054,-15.4461,74.66,53,20,28.77,few clouds
435,Port Blair,IN,11.6667,92.75,83.21,81,59,16.98,broken clouds
436,Labytnangi,RU,66.6572,66.4183,57.31,60,98,4.16,overcast clouds
437,Egvekinot,RU,66.3167,-179.1667,39.4,99,100,4.38,overcast clouds
438,Tornio,FI,65.8481,24.1466,78.82,76,27,6.55,scattered clouds
439,Tsiroanomandidy,MG,-18.7667,46.0333,64.53,40,0,4.25,clear sky
440,Tabou,CI,4.423,-7.3528,79.38,67,30,9.06,scattered clouds
441,Ternate,ID,0.8,127.4,81.07,80,65,4.61,broken clouds
442,Huarmey,PE,-10.0681,-78.1522,65.95,73,33,6.62,scattered clouds
443,Livingstone,ZM,-17.8419,25.8543,66.27,46,93,2.73,overcast clouds
444,Biak,ID,-0.9131,122.8766,78.12,81,95,3.98,overcast clouds
445,Gevgelija,MK,41.1392,22.5025,78.66,39,65,5.68,broken clouds
446,Vigia Del Fuerte,CO,6.5789,-76.8863,82.0,80,97,1.97,overcast clouds
447,Bairiki,KI,1.3292,172.9752,80.6,89,20,10.36,light rain
448,Valparaiso,CL,-33.0393,-71.6273,55.63,78,0,3.44,clear sky
449,Zeya,RU,53.75,127.2667,66.83,88,78,3.42,broken clouds
450,Lagoa,PT,39.05,-27.9833,66.25,80,100,9.57,overcast clouds
451,Teahupoo,PF,-17.8333,-149.2667,66.16,71,18,17.78,light rain
452,Mkushi,ZM,-13.6202,29.3939,64.69,60,94,9.57,overcast clouds
453,Zyryanka,RU,65.75,150.85,50.72,62,91,8.28,overcast clouds
454,Wajir,KE,1.7471,40.0573,87.01,26,31,19.35,scattered clouds
455,Pacific Grove,US,36.6177,-121.9166,59.02,89,100,6.91,overcast clouds
456,Essex,US,40.7834,-74.2163,87.37,62,75,10.36,broken clouds
457,Yekaterinoslavka,RU,50.3734,129.1139,66.38,94,9,6.17,clear sky
458,Mahajanga,MG,-15.7167,46.3167,80.62,41,20,12.66,few clouds
459,Todos Santos,MX,23.45,-110.2167,74.66,84,0,6.69,clear sky
460,Port-Gentil,GA,-0.7193,8.7815,80.56,69,75,11.5,broken clouds
461,Zhenhai,CN,24.2582,118.0905,82.08,93,100,10.69,overcast clouds
462,Eureka,US,40.8021,-124.1637,56.62,83,100,2.13,overcast clouds
463,Burns Lake,CA,54.2331,-125.7533,57.52,83,27,0.51,scattered clouds
464,Ketchikan,US,55.3422,-131.6461,57.67,94,20,4.61,fog
465,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,72,100,5.61,overcast clouds
466,San Cristobal,VE,7.7669,-72.225,77.18,53,100,5.84,overcast clouds
467,Huilong,CN,31.8111,121.655,79.93,95,54,10.69,broken clouds
468,Omboue,GA,-1.5746,9.2618,77.43,75,76,10.25,broken clouds
469,Sauda,NO,59.6506,6.3542,62.69,63,62,9.28,light rain
470,Weymouth,US,42.2209,-70.9398,81.05,81,75,10.36,broken clouds
471,Kampot,KH,10.6167,104.1833,78.85,86,100,7.52,overcast clouds
472,Chivilcoy,AR,-34.8957,-60.0167,53.94,43,71,12.28,broken clouds
473,Leh,IN,34.1667,77.5833,76.71,15,1,7.65,clear sky
474,Shizilu,CN,35.1711,118.8289,74.43,93,59,7.14,broken clouds
475,Yulara,AU,-25.2406,130.9889,45.45,57,0,12.57,clear sky
476,Korem,ET,12.5058,39.5228,71.33,36,91,8.3,overcast clouds
477,Sukumo,JP,32.9333,132.7333,75.25,96,100,5.14,overcast clouds
478,Kourou,GF,5.1552,-52.6478,87.85,66,17,9.06,few clouds
479,Senovo,SI,46.0236,15.4769,83.39,44,0,8.05,clear sky
480,Tezu,IN,27.9167,96.1667,79.92,89,56,3.56,broken clouds
481,Ko Samui,TH,9.5357,99.9357,85.53,73,100,15.82,moderate rain
482,Klyuchi,RU,52.2667,79.1667,60.91,63,52,4.21,broken clouds
483,Tawang,IN,27.5833,91.8667,57.4,95,98,2.57,overcast clouds
484,Maturin,VE,9.75,-63.1767,85.44,64,88,8.23,overcast clouds
485,Guerrero Negro,MX,27.9769,-114.0611,70.18,75,0,15.77,clear sky
486,Nieuw Nickerie,SR,5.95,-56.9833,83.34,69,13,8.57,few clouds
487,Palmeiras De Goias,BR,-16.805,-49.9258,87.22,23,8,6.93,clear sky
488,Vieste,IT,41.8825,16.175,83.46,67,0,12.21,clear sky
489,Sorong,ID,-0.8833,131.25,79.02,82,99,3.51,overcast clouds
490,Lodeynoye Pole,RU,60.726,33.5531,80.38,41,100,4.54,overcast clouds
491,Kirakira,SB,-10.4544,161.9205,79.88,81,10,13.31,clear sky
492,Pisco,PE,-13.7,-76.2167,64.45,68,20,6.91,haze
493,Linxi,CN,39.7,118.4333,77.05,73,49,4.9,scattered clouds
494,Lokosovo,RU,61.1333,74.8167,57.61,69,100,9.82,overcast clouds
495,Bambous Virieux,MU,-20.3428,57.7575,68.22,69,100,22.17,light rain
496,Nuuk,GL,64.1835,-51.7216,48.81,76,75,6.91,broken clouds
497,Airai,TL,-8.9266,125.4092,60.42,97,99,4.21,overcast clouds
498,Abu Dhabi,AE,24.4667,54.3667,93.31,80,87,11.5,overcast clouds
499,The Valley,AI,18.217,-63.0578,84.09,79,99,23.49,overcast clouds
500,Northam,GB,51.0333,-4.2167,62.65,76,50,15.99,scattered clouds
501,Tiznit,MA,29.5833,-9.5,81.28,41,0,10.6,clear sky
502,San Pedro,PH,14.35,121.0167,83.35,80,75,2.3,broken clouds
503,Houma,US,29.5958,-90.7195,87.01,76,14,5.01,few clouds
504,Calama,CL,-22.4667,-68.9333,63.09,3,0,17.27,clear sky
505,Miramar,US,25.9873,-80.2323,91.0,66,75,14.97,broken clouds
506,Bismarck,US,46.8083,-100.7837,74.86,69,0,4.61,clear sky
507,Dawei,MM,14.0833,98.2,77.32,94,100,3.67,light rain
508,Kosonsoy,UZ,41.2561,71.5508,84.76,20,0,4.47,clear sky
509,Yuli,NG,9.6989,10.2744,89.38,47,81,6.82,broken clouds
510,Babanka,UA,48.7097,30.4483,81.55,27,0,11.23,clear sky
511,Pangkalanbuun,ID,-2.6833,111.6167,75.49,98,20,2.15,light rain
512,Jinchang,CN,38.4953,102.1739,81.28,21,9,8.7,clear sky
513,Xuddur,SO,4.1213,43.8894,76.95,60,100,20.6,overcast clouds
514,Aasiaat,GL,68.7098,-52.8699,37.99,90,97,5.64,overcast clouds
515,Bay City,US,43.5945,-83.8889,77.11,52,0,6.91,clear sky
516,Cedar City,US,37.6775,-113.0619,77.4,22,0,6.91,clear sky
517,Padang,ID,-0.9492,100.3543,77.05,88,66,3.44,broken clouds
518,Riyadh,SA,24.6877,46.7219,107.74,7,60,14.5,broken clouds
519,Valdivia,CL,-39.8142,-73.2459,46.49,97,100,6.26,moderate rain
520,Huanren,CN,41.2647,125.3667,68.0,92,57,6.82,broken clouds
521,Ust-Nera,RU,64.5667,143.2,54.99,69,33,4.7,scattered clouds
522,Mathbaria,BD,22.2876,89.9593,82.35,82,6,6.38,clear sky
523,Porto Novo,BJ,6.4965,2.6036,81.64,64,100,9.06,overcast clouds
524,Quzhou,CN,28.9594,118.8686,78.33,82,100,3.49,overcast clouds
525,Entebbe,UG,0.0644,32.4469,72.79,63,66,9.64,broken clouds
526,El Fuerte,MX,26.4189,-108.6194,84.09,65,87,2.35,overcast clouds
527,Zhezkazgan,KZ,47.8043,67.7144,84.18,13,0,13.42,clear sky
528,Yamada,JP,39.4667,141.95,70.74,90,26,3.53,scattered clouds
529,Katiola,CI,8.1333,-5.1,76.48,78,96,7.27,overcast clouds
530,Kavaratti,IN,10.5669,72.642,82.26,84,100,20.45,overcast clouds
531,Geraldton,AU,-28.7667,114.6,46.81,81,0,9.22,clear sky
532,Yorkton,CA,51.2167,-102.4677,51.21,88,99,5.35,overcast clouds
533,Homer,US,59.6425,-151.5483,59.04,75,0,5.75,clear sky
534,Fort-Shevchenko,KZ,44.5086,50.263,71.67,51,100,8.12,light rain
535,Alofi,NU,-19.0595,-169.9187,77.67,79,19,16.13,light rain
536,Kupang,ID,-10.1667,123.5833,77.59,85,48,15.97,scattered clouds
537,Chara,RU,56.9064,118.2631,66.96,74,99,1.86,overcast clouds
538,Maromme,FR,49.4793,1.0238,81.41,38,0,11.5,clear sky
539,Pangabuan,PH,8.0569,123.6958,77.52,88,100,0.58,overcast clouds
540,Yerbogachen,RU,61.2767,108.0108,64.65,91,100,3.33,light rain
541,Isabela,PH,6.7085,121.9711,80.65,85,100,5.91,overcast clouds
542,Sovetskiy,RU,61.3614,63.5842,65.01,56,98,7.2,overcast clouds
543,Hibbing,US,47.4272,-92.9377,62.56,41,0,0.0,clear sky
544,Komsomolskiy,UZ,40.4272,71.7189,92.12,17,0,6.91,clear sky
545,Gasa,PS,31.5,34.4667,86.88,59,0,10.87,clear sky
546,Omsukchan,RU,62.5333,155.8,45.95,92,100,6.55,overcast clouds
547,Guinguineo,SN,14.2667,-15.95,97.29,24,29,7.0,scattered clouds
548,Lincoln,US,40.8,-96.667,71.91,91,75,3.44,broken clouds
549,Monchegorsk,RU,67.9397,32.8739,76.28,50,16,10.07,few clouds
550,Teguldet,RU,57.3064,88.1667,52.88,95,20,5.23,few clouds
551,Bowen,AU,-20.0167,148.2333,65.12,93,100,8.08,overcast clouds
552,Bocas Del Toro,PA,9.3333,-82.25,80.92,79,100,5.26,overcast clouds
553,Troitsko-Pechorsk,RU,62.7084,56.1964,56.34,75,100,8.43,overcast clouds
554,Mogadishu,SO,2.0371,45.3438,77.58,77,5,22.48,light rain
555,Ankang,CN,32.68,109.0172,72.12,89,94,1.99,overcast clouds
556,Mezen,RU,65.8522,44.24,65.62,47,4,7.25,clear sky
557,Ekibastuz,KZ,51.6667,75.3667,68.9,37,61,7.4,broken clouds
558,Toamasina,MG,-18.1667,49.3833,68.99,84,53,14.79,light rain
559,Nome,US,64.5011,-165.4064,55.47,94,100,9.22,overcast clouds
560,Baiyin,CN,36.5583,104.2081,78.08,31,16,4.27,few clouds
561,Coruripe,BR,-10.1256,-36.1756,78.03,83,24,17.29,few clouds
562,Lukhovitsy,RU,54.9728,39.0361,73.4,50,4,7.85,clear sky
563,Port Keats,AU,-14.25,129.55,66.43,61,16,10.78,few clouds
564,Inyonga,TZ,-6.7167,32.0667,78.67,26,2,4.0,clear sky
565,Abu Samrah,SY,35.3029,37.1841,90.68,31,0,18.28,clear sky
566,Byron Bay,AU,-28.65,153.6167,56.95,90,92,6.96,overcast clouds
567,Kemin,KG,42.7846,75.6892,68.25,43,23,3.6,few clouds
568,Lulea,SE,65.5842,22.1547,75.27,69,0,8.05,clear sky
569,Saint-Pierre,RE,-21.3393,55.4781,71.28,62,20,23.02,few clouds
570,Hienghene,NC,-20.6833,164.9333,73.13,84,100,8.81,overcast clouds
571,Carman,CA,49.4992,-98.0016,58.89,62,90,0.76,overcast clouds
572,Palmer,US,42.1584,-72.3287,77.65,78,100,8.05,light rain
573,Ilmajoki,FI,62.7333,22.5667,86.34,38,81,13.8,broken clouds
574,Burgos,ES,42.3394,-3.7079,90.01,22,20,1.14,few clouds
575,Boysun,UZ,38.2061,67.1986,86.22,17,0,0.54,clear sky
576,Erenhot,CN,43.6475,111.9767,76.69,50,100,14.58,overcast clouds
577,Natal,BR,-5.795,-35.2094,77.65,94,40,13.8,scattered clouds
578,Skala Fourkas,GR,39.9998,23.3841,83.53,58,12,6.8,few clouds
579,Udimskiy,RU,61.1417,45.9144,65.44,62,74,7.14,broken clouds
580,Quatre Cocos,MU,-20.2078,57.7625,68.09,69,99,22.53,overcast clouds
581,Mahibadhoo,MV,3.7833,72.9667,82.09,77,100,16.08,overcast clouds
582,Dubti,ET,11.7361,41.0853,104.5,18,28,19.39,scattered clouds
583,Basco,PH,20.4487,121.9702,83.89,69,100,4.34,overcast clouds
584,Alyangula,AU,-13.8483,136.4192,73.54,76,99,17.83,overcast clouds
585,Tutoia,BR,-2.7619,-42.2744,83.91,68,15,11.59,few clouds
586,Jijiga,ET,9.35,42.8,76.69,43,48,14.83,scattered clouds
587,Valentin Gomez Farias,MX,28.2167,-106.5833,73.74,48,44,2.62,scattered clouds
588,Nadvoitsy,RU,63.8667,34.3167,73.83,53,100,4.0,overcast clouds
589,Arlit,NE,18.7369,7.3853,106.52,11,8,4.72,clear sky
590,Bathsheba,BB,13.2167,-59.5167,88.41,86,40,17.27,scattered clouds
591,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,82,20,19.57,few clouds
592,Severnyy,RU,50.677,36.5532,73.44,38,0,13.42,clear sky
593,Assiniboia,CA,49.6334,-105.9845,66.76,59,24,6.93,few clouds
594,Ritchie,ZA,-29.038,24.6028,64.26,35,20,12.35,few clouds
595,Hitachi,JP,36.6,140.65,76.59,77,0,0.85,clear sky
596,Batagay,RU,67.6333,134.6333,56.88,56,65,5.59,broken clouds
597,Vorukh,TJ,39.8494,70.5838,76.68,33,0,2.91,clear sky
598,Kapit,MY,2.0167,112.9333,76.35,93,66,0.51,broken clouds
599,Batemans Bay,AU,-35.7167,150.1833,52.11,67,100,13.35,moderate rain
600,Tucuma,BR,-0.1833,-50.05,85.59,63,12,8.99,few clouds
601,Oussouye,SN,12.485,-16.5469,87.42,50,99,11.5,overcast clouds
602,Hirara,JP,24.8,125.2833,82.69,78,100,14.34,overcast clouds
603,Henties Bay,NA,-22.116,14.2845,64.15,71,2,11.03,clear sky
604,Marawi,PH,7.9986,124.2928,71.53,84,100,3.38,overcast clouds
605,Ca Mau,VN,9.1769,105.15,78.98,89,100,3.94,overcast clouds
606,Caconda,AO,-13.7333,15.0667,77.22,16,2,3.27,clear sky
607,La Paz,BO,-16.5,-68.15,55.38,20,100,5.75,overcast clouds
608,Ouadda,CF,8.0777,22.4007,73.53,92,99,3.69,moderate rain
609,Japura,ID,-0.3167,102.35,75.04,80,18,3.15,few clouds
610,Zanesville,US,39.9404,-82.0132,79.36,83,40,5.75,scattered clouds
611,Ganzhou,CN,28.8184,115.4327,80.53,86,100,0.81,heavy intensity rain
612,Coahuayana,MX,18.7333,-103.6833,85.01,71,41,1.61,scattered clouds
613,Quito,EC,-0.2299,-78.5249,58.15,63,85,3.91,overcast clouds
614,Wukari,NG,7.85,9.7833,85.1,61,95,1.99,overcast clouds
615,Tuatapere,NZ,-46.1333,167.6833,44.53,91,57,6.02,broken clouds
616,Gobabis,NA,-22.45,18.9667,68.85,25,0,6.38,clear sky
617,Goderich,CA,43.7501,-81.7165,67.91,74,2,10.04,clear sky
618,Kamenka,RU,51.3223,42.7678,65.79,73,39,19.95,light rain
619,Vaitape,PF,-16.5167,-151.75,78.3,69,61,19.48,light rain
620,Morro Bay,US,35.3658,-120.8499,56.73,89,40,1.99,scattered clouds
621,Podolinec,SK,49.2587,20.536,66.67,76,88,8.43,overcast clouds
622,Muyezerskiy,RU,63.9333,31.65,80.96,37,100,5.19,overcast clouds
623,Bubaque,GW,11.2833,-15.8333,80.98,78,76,10.92,broken clouds
624,Montefiascone,IT,42.5393,12.0362,100.27,30,1,3.0,clear sky
625,Boda,CF,4.3189,17.4695,74.34,80,100,4.99,overcast clouds
626,Bonnyville,CA,54.2668,-110.735,53.15,73,99,3.58,overcast clouds
627,Hope,US,33.6671,-93.5916,80.98,80,95,2.28,overcast clouds
628,Sayaxche,GT,16.5167,-90.1667,81.57,66,100,2.89,overcast clouds
629,Ormara,PK,25.2088,64.6357,85.5,81,94,9.06,overcast clouds
630,Segezha,RU,63.7415,34.3222,69.33,60,100,4.25,overcast clouds
631,Nishihara,JP,26.1842,127.7558,78.46,100,75,25.32,broken clouds
632,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,18.41,moderate rain
633,Severo-Yeniseyskiy,RU,60.3725,93.0408,50.95,93,98,4.18,overcast clouds
634,Tanda,IN,26.55,82.65,95.52,46,80,3.87,broken clouds
635,Port Macquarie,AU,-31.4333,152.9167,55.89,100,100,5.75,overcast clouds
636,Marfino,RU,55.7028,37.3822,78.75,27,0,11.18,clear sky
637,Vostok,RU,46.4856,135.8833,64.11,98,100,4.25,overcast clouds
638,Tautira,PF,-17.7333,-149.15,76.77,69,12,17.85,few clouds
639,Panjab,AF,34.388,67.0233,69.64,17,0,9.13,clear sky
640,Castanos,MX,26.7833,-101.4167,87.35,46,40,0.0,scattered clouds
641,Wattegama,LK,6.7989,81.4808,77.68,85,77,2.93,broken clouds
642,Keskin,TR,39.6731,33.6136,74.73,32,0,18.5,clear sky
643,Nuevo Progreso,MX,23.1667,-97.95,87.55,70,43,4.0,scattered clouds
644,Sussex,US,41.1834,-74.6663,85.59,72,20,5.01,few clouds
645,Canning,IN,22.3189,88.6714,82.42,77,33,7.61,scattered clouds
646,Ballangen,NO,68.3428,16.8315,79.02,47,75,5.75,broken clouds
647,Beringovskiy,RU,63.05,179.3167,44.87,94,87,12.82,overcast clouds
648,Sovetskaya Gavan,RU,48.9723,140.2878,63.7,87,100,2.17,overcast clouds
649,Luanda,AO,-8.8368,13.2343,73.47,74,0,14.72,clear sky
650,Pemba,MZ,-12.974,40.5178,76.57,67,20,17.43,few clouds
651,Joao Pinheiro,BR,-17.7425,-46.1725,79.14,38,4,10.02,clear sky
652,Divnomorskoye,RU,44.5011,38.1353,76.01,40,0,12.15,clear sky
653,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.66,37,0,5.95,clear sky
654,Nichlaul,IN,27.3167,83.7333,85.8,71,100,7.67,overcast clouds
655,Camana,PE,-16.6228,-72.7111,62.89,74,73,9.24,broken clouds
656,Ginir,ET,7.1333,40.7,70.34,49,73,13.53,broken clouds
657,Flin Flon,CA,54.7682,-101.865,61.7,38,51,6.76,broken clouds
658,Koumac,NC,-20.5667,164.2833,73.36,83,100,3.31,overcast clouds
659,Beyneu,KZ,45.3167,55.2,86.7,22,96,14.12,overcast clouds
660,Vardo,NO,70.3705,31.1107,55.38,82,14,6.91,few clouds
661,Fukue,JP,32.6881,128.8419,78.75,77,99,5.73,overcast clouds
662,Rio Grande,BR,-32.035,-52.0986,59.11,90,99,9.69,overcast clouds
663,Aquiraz,BR,-3.9014,-38.3911,82.49,81,78,12.53,broken clouds
664,Lianran,CN,24.9227,102.485,64.74,90,7,1.57,clear sky
665,Taga,RO,46.95,24.05,88.32,37,23,3.78,few clouds
666,Mbuji-Mayi,CD,-6.15,23.6,92.32,22,68,5.08,broken clouds
667,Sokoni,TZ,-6.4333,39.55,75.63,76,14,13.29,light rain
668,Mitsamiouli,KM,-11.3847,43.2844,77.07,70,43,7.87,scattered clouds
669,Kitimat,CA,54.0524,-128.6534,62.91,20,99,1.25,overcast clouds
670,Yar-Sale,RU,66.8333,70.8333,51.8,76,97,14.97,overcast clouds
671,Odweyne,SO,9.4092,45.064,86.81,31,32,21.0,scattered clouds
672,Caravelas,BR,-17.7125,-39.2481,79.21,59,66,8.05,broken clouds
673,Puerto Madryn,AR,-42.7692,-65.0385,45.97,42,0,12.08,clear sky
674,Meulaboh,ID,4.1363,96.1285,76.05,87,97,3.06,overcast clouds
675,Harnosand,SE,62.6323,17.9379,71.62,97,96,9.91,overcast clouds
